n,temps_FF,temps_PR,temps_MIN,rapport_FF_PR
100,1.703125,4.421875,6.53125,0.38515901060070673
100,1.375,0.1875,6.921875,7.333333333333333
100,1.703125,0.15625,6.8125,10.9
100,1.546875,0.171875,6.296875,9.0
100,1.859375,0.109375,6.90625,17.0
100,1.75,0.15625,6.765625,11.2
100,1.703125,0.09375,6.28125,18.166666666666668
100,1.546875,4.671875,6.875,0.3311036789297659
100,1.625,4.9375,5.75,0.3291139240506329
100,1.734375,4.703125,5.609375,0.3687707641196013
100,1.75,4.453125,8.90625,0.3929824561403509
100,2.078125,4.703125,7.671875,0.4418604651162791
100,1.65625,0.140625,6.734375,11.777777777777779
100,1.96875,4.359375,6.875,0.45161290322580644
100,1.328125,0.140625,4.78125,9.444444444444445
100,1.4375,5.109375,8.25,0.28134556574923547
100,1.65625,0.15625,7.328125,10.6
100,2.015625,4.765625,7.375,0.42295081967213116
100,1.546875,0.125,6.109375,12.375
100,1.578125,5.1875,7.265625,0.3042168674698795
100,1.890625,4.640625,5.46875,0.4074074074074074
100,1.640625,4.65625,7.875,0.3523489932885906
100,1.5,0.140625,7.09375,10.666666666666666
100,1.359375,0.109375,6.390625,12.428571428571429
100,1.890625,0.09375,7.140625,20.166666666666668
100,1.71875,0.0625,5.921875,27.5
100,1.140625,0.15625,4.859375,7.3
100,1.40625,4.171875,7.453125,0.33707865168539325
100,1.59375,4.703125,7.0625,0.3388704318936877
100,1.84375,0.140625,7.9375,13.11111111111111
100,1.734375,5.3125,6.296875,0.3264705882352941
100,1.75,5.625,7.40625,0.3111111111111111
100,1.734375,0.09375,6.609375,18.5
100,2.15625,0.15625,9.28125,13.8
100,2.078125,4.078125,6.0,0.5095785440613027
100,1.59375,4.953125,6.609375,0.3217665615141956
100,1.484375,5.875,8.09375,0.2526595744680851
100,2.125,0.171875,7.84375,12.363636363636363
100,1.703125,0.171875,7.453125,9.909090909090908
100,2.546875,6.484375,10.546875,0.3927710843373494
100,1.546875,0.15625,5.765625,9.9
100,1.9375,5.65625,5.984375,0.3425414364640884
100,1.9375,0.109375,8.96875,17.714285714285715
100,2.296875,6.0625,6.625,0.3788659793814433
100,2.078125,5.765625,6.84375,0.3604336043360434
100,2.796875,5.859375,9.3125,0.47733333333333333
100,2.5625,0.15625,9.703125,16.4
100,2.046875,0.203125,8.53125,10.076923076923077
100,2.28125,5.59375,7.921875,0.40782122905027934
100,2.265625,0.109375,10.1875,20.714285714285715
100,2.46875,0.109375,8.546875,22.571428571428573
100,2.046875,0.109375,7.21875,18.714285714285715
100,2.234375,0.125,7.65625,17.875
100,2.015625,6.3125,5.828125,0.3193069306930693
100,2.34375,5.96875,7.828125,0.39267015706806285
100,2.046875,0.140625,6.125,14.555555555555555
100,2.15625,6.03125,7.28125,0.35751295336787564
100,2.171875,6.109375,7.15625,0.3554987212276215
100,2.40625,0.28125,6.5,8.555555555555555
100,2.03125,5.359375,8.5,0.37900874635568516
100,1.875,0.09375,6.1875,20.0
100,2.890625,4.9375,9.484375,0.5854430379746836
100,2.5,5.109375,9.390625,0.4892966360856269
100,2.15625,5.71875,7.84375,0.3770491803278688
100,2.515625,5.1875,8.578125,0.48493975903614456
100,1.9375,6.0,6.0625,0.3229166666666667
100,2.4375,0.140625,8.515625,17.333333333333332
100,1.625,0.109375,5.0,14.857142857142858
100,1.78125,0.0625,6.265625,28.5
100,2.5,0.15625,7.984375,16.0
100,2.6875,5.0625,8.390625,0.5308641975308642
100,1.828125,6.34375,7.59375,0.2881773399014778
100,2.296875,0.1875,7.578125,12.25
100,2.890625,0.109375,8.375,26.428571428571427
100,2.140625,0.125,8.53125,17.125
100,2.359375,4.96875,6.609375,0.4748427672955975
100,1.71875,0.140625,6.6875,12.222222222222221
100,1.96875,4.546875,6.984375,0.4329896907216495
100,1.53125,0.078125,6.296875,19.6
100,1.265625,4.890625,6.5,0.25878594249201275
100,1.5,4.578125,6.65625,0.32764505119453924
100,1.75,0.09375,7.203125,18.666666666666668
100,1.71875,5.09375,7.484375,0.3374233128834356
100,1.828125,5.15625,8.21875,0.35454545454545455
100,1.4375,0.09375,6.890625,15.333333333333334
100,1.40625,0.09375,6.703125,15.0
100,1.625,5.484375,6.875,0.2962962962962963
100,1.484375,0.09375,6.75,15.833333333333334
100,1.671875,0.0625,6.5,26.75
100,1.53125,4.96875,6.515625,0.3081761006289308
100,1.640625,0.15625,7.484375,10.5
100,1.484375,0.125,5.953125,11.875
100,1.84375,4.4375,7.1875,0.4154929577464789
100,1.796875,4.4375,7.234375,0.40492957746478875
100,1.953125,4.28125,6.53125,0.4562043795620438
100,1.65625,0.15625,7.625,10.6
100,1.546875,4.34375,7.109375,0.35611510791366907
100,1.78125,5.125,7.15625,0.3475609756097561
100,2.09375,3.90625,7.3125,0.536
100,1.734375,5.015625,8.078125,0.34579439252336447
